Year,Global GDP ($),US CO2 emissions
2023,"105,435.04",4911391000
2022,"101,225.06",5078871000
2021,"97,527.03",5032213000
2020,"85,577.72",4714628000
2019,"87,945.57",5262145000
2018,"86,686.87",5377797000
2017,"81,550.96",5212162000
2016,"76,588.03",5252932000
2015,"75,359.66",5376473000
2014,"79,894.39",5528681000
2013,"77,751.37",5480156700
2012,"75,603.98",5344086000
2011,"73,957.79",5546116000
2010,"66,514.17",5679715300
2009,"60,718.26",5480725500
2008,"64,072.30",5915118600
2007,"58,314.87",6130123000
2006,"51,749.81",6052686000
2005,"47,760.32",6132183000
2004,"44,116.24",6112655000
2003,"39,152.14",6010145300
2002,"34,917.70",5946308000
2001,"33,626.96",5907739600
2000,"33,839.39",6010135600
1999,"32,731.00",5803918000
1998,"31,697.04",5733281000
1997,"31,752.30",5688142300
1996,"31,857.69",5612983000
1995,"31,140.61",5425259500
1994,"27,938.85",5364279300
1993,"25,959.42",5272850400
1992,"25,468.01",5174227500
1991,"23,823.55",5062956500
1990,"22,822.61",5120957000
1989,"20,324.14",5132543500
1988,"19,547.53",5050858500
1987,"17,485.08",4826012700
1986,"15,351.69",4663711000
1985,"13,023.99",4652938000
1984,"12,445.99",4662488000
1983,"11,972.21",4429711000
1982,"11,648.09",4447602000
1981,"11,796.48",4686743000
1980,"11,419.16",4808877600
